Data size,Delta size,Sample,Incremental,Query1,Query2,Query3,Query4
100,small,Product99,True,0.10544250952079892,0.8559985696338117,0.14399830205366015,0.38442146545276046
100,small,Product99,False,0.06858939724043012,0.21252018166705966,0.12420385796576738,0.28546459041535854
100,medium,Product27,True,0.09102649241685867,0.9298787163570523,0.12924484815448523,0.3943880805745721
100,medium,Product99,True,0.10414919815957546,0.897196700796485,0.1459013307467103,0.3973875558003783
100,medium,Product27,False,0.07424159627407789,0.2177506247535348,0.11626677913591266,0.26930195512250066
100,medium,Product99,False,0.07073360867798328,0.22498526377603412,0.13452457264065742,0.3272523395717144
100,large,Product27,True,0.1052816160954535,0.8907918459735811,0.149200982414186,0.42463097209110856
100,large,Product50,True,0.12271184427663684,0.8671874646097422,0.15168980415910482,0.413594258017838
100,large,Product22,True,0.10712925111874938,1.1216977592557669,0.15887869196012616,0.48473850172013044
100,large,Product84,True,0.1121538644656539,0.8660572026856244,0.15265296585857868,0.4186974372714758
100,large,Product27,False,0.06979380548000336,0.22298193536698818,0.2989949192851782,0.4603129499591887
100,large,Product50,False,0.09808006370440125,0.2280304883606732,0.12938421592116356,0.29949174309149384
100,large,Product22,False,0.06980385910719633,0.2297842283733189,0.1308395047672093,0.31833413196727633
100,large,Product84,False,0.07689382275566459,0.22972277458757162,0.1287480159662664,0.2692948062904179
1000,small,Product366,True,0.22297723777592182,1.7828298979438841,0.27792786806821823,0.8845467888750136
1000,small,Product366,False,0.15113309305161238,0.30635107308626175,0.2099042423069477,0.5492687248624861
1000,medium,Product366,True,0.24987178249284625,1.6771248220466077,0.2850716905668378,1.0009289272129536
1000,medium,Product732,True,0.24533609580248594,1.564886016305536,0.2754801446571946,0.9766112836077809
1000,medium,Product366,False,0.1351229571737349,0.28929041838273406,0.21189181180670857,0.5395016786642373
1000,medium,Product732,False,0.09700857941061258,0.31004153564572334,0.21691439347341657,0.5492755654267967
1000,large,Product288,True,0.2686924575828016,1.717741185799241,0.27101431088522077,0.9242056193761528
1000,large,Product366,True,0.2464469405822456,1.6280483552254736,0.27940203715115786,1.0068670250475407
1000,large,Product189,True,0.24050414795055985,1.4789559035561979,0.259665556717664,0.8596311705186963
1000,large,Product809,True,0.26723232213407755,1.615111152175814,0.26732723135501146,0.9138919156976044
1000,large,Product288,False,0.1457481188699603,0.28362484462559223,0.18500231811776757,0.36991568747907877
1000,large,Product366,False,0.13040412869304419,0.29796939762309194,0.19609848503023386,0.520419386215508
1000,large,Product189,False,0.1378939119167626,0.28263641707599163,0.20153080625459552,0.43397592566907406
1000,large,Product809,False,0.13683964777737856,0.28731370717287064,0.19749360717833042,0.4297800613567233
5000,small,Product1856,True,0.5082610426470637,3.4176247948780656,0.5188626167364419,1.7873430754989386
5000,small,Product1856,False,0.2932824110612273,0.506482892204076,0.3829402788542211,1.0434920229017735
5000,medium,Product1856,True,0.6241391864605248,3.458661821205169,0.5720520382747054,2.0724357748404145
5000,medium,Product3467,True,0.6018945095129311,3.4363921266049147,0.5215746406465769,2.0248254002071917
5000,medium,Product1856,False,0.29445225559175014,0.5000925399363041,0.3950359523296356,1.071707650553435
5000,medium,Product3467,False,0.17177174286916852,0.4985763397999108,0.3647709875367582,0.6923185139894485
5000,large,Product1493,True,0.6356813148595393,3.8509147237055004,0.626881854608655,2.327561790589243
5000,large,Product1691,True,0.6375851538032293,3.691645215731114,0.6139995073899627,2.2450516279786825
5000,large,Product2917,True,0.5898448475636542,3.377159918192774,0.5502891577780247,2.043737023603171
5000,large,Product1685,True,0.5727151082828641,3.41791470721364,0.5201111338101327,2.05738076986745
5000,large,Product1493,False,0.30492061050608754,0.5203639352694154,0.3942403243854642,1.11254887515679
5000,large,Product1691,False,0.3519452475011349,0.6034634858369827,0.44887426076456904,1.2114952839910984
5000,large,Product2917,False,0.3088720724917948,0.5267834421247244,0.4036825760267675,0.92944081639871
5000,large,Product1685,False,0.24345231940969825,0.44486153731122613,0.33059546165168285,0.7684600399807096
