File,Scratch,Incremental
1000,415.5144691467285,1051.7175197601318
50000,2190.0854110717773,2434.3197345733643
100000,3342.2086238861084,4219.216108322144
100000,8692.779302597046,10541.58616065979
30000,3606.416940689087,4447.5417137146
30000,3340.5158519744873,4476.349115371704
1000,399.1096019744873,1010.1661682128906
50000,2119.8723316192627,2396.3637351989746
50000,2308.55393409729,2387.387990951538
1000,408.9646339416504,1009.9906921386719
1000,392.7762508392334,1049.922227859497
1000,415.3118133544922,1005.0876140594482
1000,395.27416229248047,1031.5206050872803
1000,405.77030181884766,1022.2086906433105
1000,399.5318412780762,1033.1754684448242
1000,393.8252925872803,1028.6552906036377
1000,405.7033061981201,1036.0310077667236
1000,397.71389961242676,993.2751655578613
1000,409.6648693084717,1035.0549221038818
1000,392.66443252563477,1016.958475112915
1000,396.06237411499023,884.4008445739746
1000,399.8105525970459,872.0712661743164
1000,397.7935314178467,960.1991176605225
1000,868.4065341949463,1922.0139980316162
1000,825.5259990692139,1891.0856246948242
1000,832.7901363372803,1829.4646739959717
100000,3287.994623184204,4310.392141342163
1000,410.0978374481201,973.2544422149658
1000,407.55152702331543,1005.9981346130371
1000,189.58544731140137,334.40709114074707
1000,90.8200740814209,135.5600357055664
30000,278.0747413635254,309.8795413970947
30000,289.42108154296875,185.61530113220215
1000,402.19712257385254,933.948278427124
30000,1292.1795845031738,1586.1577987670898
1000,407.3617458343506,1005.7773590087891
1000,419.5520877838135,1035.5870723724365
1000,404.1717052459717,1000.7245540618896
30000,1302.1409511566162,1529.9596786499023
30000,1286.8432998657227,1536.041498184204
30000,272.611141204834,180.13906478881836
1000,212.13603019714355,408.674955368042
30000,887.7067565917969,1468.2822227478027
overlap,21679.059982299805,7601.481199264526
1000,203.29880714416504,412.35995292663574
1000,16.506433486938477,59.949398040771484
100,1205.9741020202637,1247.0436096191406
100,1233.3004474639893,1232.1372032165527
1000,15.629768371582031,59.83710289001465
1000,27.3435115814209,71.87581062316895
100,1182.2247505187988,1174.975872039795
100,3119.619607925415,3134.8772048950195
100,1187.9994869232178,1158.5123538970947
100,1192.8820610046387,1219.2542552947998
100,1183.0363273620605,1158.2527160644531
100,1194.4868564605713,1183.546543121338
100,1221.0640907287598,1142.714023590088
100,1169.4972515106201,1189.1779899597168
100,1205.8253288269043,1151.428461074829
100,1176.1603355407715,1185.9409809112549
100,1208.0881595611572,1161.5269184112549
100,1222.938060760498,1240.6399250030518
100,1233.9661121368408,1178.9426803588867
100,1229.886770248413,1159.1241359710693
100,1259.6855163574219,1208.2993984222412
100,1243.4282302856445,1164.9818420410156
100,1261.6853713989258,1218.8441753387451
100,1253.9069652557373,1252.0828247070312
40000,1213.4106159210205,2054.126262664795
40000,1203.0577659606934,1976.5620231628418
25,57757.64751434326,55373.61240386963
1000,208.20307731628418,401.87859535217285
1000,1923.2490062713623,17736.24014854431
1000,1897.1402645111084,17991.803884506226
1000,2064.032872517904,17955.95630009969
1000,1957.938512166341,19606.82201385498
1000,2005.4244995117188,18658.1126054128
1000,517.0194307963053,837.6267751057943
