File,Scratch,Incremental
1/1000,14.820218086242676,48.20716381072998
1/100,1212.0314121246338,1163.555097579956
1/50,7704.883241653442,3066.8118953704834
1/35,21788.970136642456,8188.081312179565
1/30,34571.56138420105,17315.92025756836
1/25,58645.435412724815,52450.916369756065
